name,date
A/England/224380524/2022|EPIISL15888857|2022-10-22|HA|4,2022/10/22
A/Michigan/UOM10049116779/2022|EPIISL17551696|2022-12-30|HA|4,2022/12/30
A/NewYork/14005/2022|EPIISL16744258|2022-12-14|HA|4,2022/12/14
A/England/231280378/2022|EPIISL18010867|2022-12-14|HA|4,2022/12/14
A/France/PAC-HCL023026489601/2023|EPIISL17693696|2023-02-06|HA|4,2023/2/6
A/Michigan/UOM10049062213/2022|EPIISL18005649|2022-12-27|HA|4,2022/12/27
A/California/185/2022|EPIISL16834783|2022-11-22|HA|4,2022/11/22
A/Hubei-Duodao/251/2023|EPIISL18068854|2023-03-20|HA|4,2023/3/20
A/ChampagneArdenne/57260/2022|EPIISL16680826|2022-12-01|HA|4,2022/12/1
A/Florida/10/2023|EPIISL17212777|2023-01-09|HA|4,2023/1/9
A/Florida/127/2022|EPIISL16830249|2022-11-14|HA|4,2022/11/14
A/Oregon/52/2022|EPIISL16201529|2022-11-08|HA|4,2022/11/8
A/CastillaLaMancha/4033/2022|EPIISL16054000|2022-10-10|HA|4,2022/10/10
A/Tennessee/50/2022|EPIISL16830201|2022-11-23|HA|4,2022/11/23
A/Germany/13559/2022|EPIISL16491571|2022-10-27|HA|4,2022/10/27
A/Michigan/UOM-10048371304/2022|EPIISL17634430|2022-11-11|HA|4,2022/11/11
A/England/230540122/2023|EPIISL17225066|2023-01-30|HA|4,2023/1/30
A/England/224120264/2022|EPIISL16937244|2022-10-10|HA|4,2022/10/10
A/France/ARA-HCL022211054901/2022|EPIISL16822687|2022-12-17|HA|4,2022/12/17
A/Estonia/KL6953/2022|EPIISL17223842|2022-12-02|HA|4,2022/12/2
A/Michigan/UOM10048652655/2022|EPIISL16869650|2022-11-30|HA|4,2022/11/30
A/Michigan/UOM-10048344343/2022|EPIISL17634535|2022-11-10|HA|4,2022/11/10
A/CastillaLaMancha/4107/2022|EPIISL15999264|2022-10-17|HA|4,2022/10/17
A/Hessen/100/2022|EPIISL17037924|2022-11-22|HA|4,2022/11/22
A/Ireland/9045/2023|EPIISL18044567|2023-02-04|HA|4,2023/2/4
A/Missouri/USAFSAM-13983/2022|EPIISL16919181|2022-12-15|HA|4,2022/12/15
A/Poland/PL76/2022|EPIISL16759328|2022-12-15|HA|4,2022/12/15
